
[2026-04-07 12:39:26] SESSION: default_user
USER: What was the total revenue in 2023?
BOT: 1,107,047,980.91
--------------------------------------------------

[2026-04-07 12:53:49] SESSION: default_user
USER: total no. of unique item code?
BOT: 2,152
--------------------------------------------------

[2026-04-07 12:54:26] SESSION: default_user
USER: total no. of unique item code?
BOT: 2,152
--------------------------------------------------

[2026-04-07 12:54:31] SESSION: default_user
USER: Most sold item in 2023?
BOT: 3510901450
--------------------------------------------------

[2026-04-07 13:19:54] SESSION: default_user
USER: What was the total revenue in 2023?
BOT: 1,107,047,980.91
--------------------------------------------------

[2026-04-07 14:19:00] SESSION: default_user
USER: are you using caching
BOT: I am specialized only in spare parts analysis.
--------------------------------------------------

[2026-04-07 14:24:23] SESSION: default_user
USER: Which year had the highest revenue?
BOT: 2023
--------------------------------------------------

[2026-04-07 14:24:26] SESSION: default_user
USER: What are the top 10 spare parts by quantity?
BOT: 
|   ITEM_CODE_CLEAN |   QTY |
|-------------------|-------|
|        3510901450 | 60480 |
|        0820315050 | 55242 |
|        0820405050 | 51804 |
|        3361200150 | 46878 |
|        3361000950 | 39565 |
|        0820403050 | 29245 |
|        0820600050 | 27965 |
|        0822813050 | 27785 |
|        0820302050 | 27232 |
|        0820402050 | 24307 |
--------------------------------------------------

[2026-04-07 14:24:28] SESSION: default_user
USER: Who is the top customer by quantity in 2024?
BOT: 
| CUSTOMER_NAME_CLEAN                                |     QTY |
|----------------------------------------------------|---------|
| kalp marketing                                     | 30428   |
| gargi engineering enterprises pvt.ltd. - mumbai    | 26533   |
| multivista global private limited - agra           | 24883   |
| trade links (sec)                                  | 23187   |
| parag marketing services                           | 18693   |
| multivista global pvt ltd-delhi                    | 15631   |
| talsales private ltd                               | 14512   |
| multivista global pvt ltd.- lucknow                | 11846   |
| model pneumatic co.                                | 11166   |
| pragyaa industrial supply                          | 10014   |
| controllerate of procurement                       |  9416   |
| geekay pneumatics pvt ltd                          |  9113   |
| m/s. robin refrigeration works                     |  8932   |
| multivista global pvt ltd                          |  8101   |
| hss solutions pvt. ltd                             |  7684   |
| s. b. refrigeration services                       |  5838   |
| trade links (goa)                                  |  3806   |
| trade links - ongole                               |  3421   |
| m/s. dicksons engineering company pvt. ltd.        |  2288   |
| parag marketing services - chhattisgarh            |  2009   |
| controller of procurement                          |  1669   |
| multivista global private limited - rudrapur       |   846   |
| controller of procurement karwar                   |   765.9 |
| multivista global pvt ltd. - gurgaon               |   640   |
| cool comfort private limited                       |   492   |
| ship building centre                               |   260   |
| hpcl-mittal energy limited                         |   119   |
| gargi engineering enterprises pvt.ltd. - vadodara  |    92   |
| mangalore refinery and petrochemicals limited      |    64   |
| oil and natural gas corporation limited            |    62   |
| indian oil corporation limited                     |    47   |
| reliance industries ltd                            |    44   |
| united breweries ltd                               |    33   |
| gail mangalore petrochemicals limited              |    32   |
| kirloskar pneumatic co. ltd-delhi                  |    32   |
| grasim industries ltd                              |    31   |
| indian oil corpn ltd , mathura                     |    30   |
| chennai petroleum corporation ltd                  |    26   |
| nestle india limited                               |    26   |
| shv energy private limited                         |    18   |
| gail (india) limited                               |    16   |
| hindustan urvarak & rasayan limited                |    14   |
