MODEL,OA_DATE,ITEM_CODE,QTY,UNIT_PRICE,BASIC_VALUE,ITEM_DESCRIPTION
ACR SPARES,2021-06-28,336.40.401.50.,10.0,6162.0,61620.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-06-29,082.08.000.50.,9.0,5901.0,53109.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-06-29,082.08.000.50.,9.0,5901.0,53109.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-06-29,082.04.030.50.,35.0,1348.0,47180.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-06-29,082.03.110.50.,15.0,2830.0,42450.0,PISTON KC/KCX
ACR SPARES,2021-06-29,082.03.110.50.,15.0,2830.0,42450.0,PISTON KC/KCX
ACR SPARES,2021-06-29,082.03.110.50.,15.0,2830.0,42450.0,PISTON KC/KCX
ACR SPARES,2021-06-29,336.40.401.50.,10.0,6162.0,61620.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-06-29,336.40.401.50.,10.0,6162.0,61620.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-06-30,993.00.311.00.,12.0,116.0,1392.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-06-30,336.40.401.50.,10.0,6162.0,61620.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-06-30,082.03.110.50.,35.0,2830.0,99050.0,PISTON KC/KCX
ACR SPARES,2021-06-30,993.00.311.00.,100.0,82.0,8200.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-06-30,082.04.030.50.,40.0,1348.0,53920.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-06-30,082.08.000.50.,7.0,5901.0,41307.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-07-08,351.03.301.50.,12.0,4053.0,48636.0,LINER CYLINDER AC70
ACR SPARES,2021-08-31,082.04.030.50.,10.0,1348.0,13480.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-09-02,082.03.110.50.,12.0,2664.0,31968.0,PISTON KC/KCX
ACR SPARES,2021-09-02,084.19.001.50.,4.0,3068.0,12272.0,GASKET SET KC4
ACR SPARES,2021-09-02,082.04.030.50.,15.0,1269.0,19035.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-09-02,082.08.000.50.,4.0,5554.0,22216.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-09-15,336.40.401.50.,6.0,6162.0,36972.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-09-15,993.00.311.00.,10.0,116.0,1160.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-09-15,082.08.000.50.,10.0,8354.0,83540.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-09-15,336.40.401.50.,50.0,8721.0,436050.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-09-15,082.04.030.50.,100.0,1979.0,197900.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-09-15,082.03.110.50.,50.0,4031.0,201550.0,PISTON KC/KCX
ACR SPARES,2021-09-15,993.00.311.00.,10.0,116.0,1160.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
ACR SPARES,2021-09-16,082.04.030.50.,6.0,1348.0,8088.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-09-16,082.08.000.50.,5.0,5901.0,29505.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-09-18,082.08.000.50.,6.0,6529.0,39174.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-09-21,082.03.110.50.,12.0,2830.0,33960.0,PISTON KC/KCX
ACR SPARES,2021-09-21,336.40.401.50.,9.0,6162.0,55458.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-09-21,082.08.000.50.,10.0,5901.0,59010.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-09-21,082.04.030.50.,36.0,1348.0,48528.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-09-21,082.03.110.50.,36.0,2830.0,101880.0,PISTON KC/KCX
ACR SPARES,2021-09-21,082.04.030.50.,48.0,1348.0,64704.0,BEARING BUSH BIG END CON ROD KC/KCX
ACR SPARES,2021-09-21,336.40.401.50.,36.0,6162.0,221832.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-09-21,082.08.000.50.,12.0,5901.0,70812.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-09-21,336.40.401.50.,15.0,6162.0,92430.0,CYLINDER LINER KC/KCX
ACR SPARES,2021-09-21,082.08.000.50.,24.0,5901.0,141624.0,SHAFT SEAL ASSEMBLY KC/KCX
ACR SPARES,2021-09-21,082.03.110.50.,12.0,2830.0,33960.0,PISTON KC/KCX
ACR SPARES,2021-09-21,993.00.311.00.,100.0,82.0,8200.0,GASKET SUCT STRAINER & SIDE COVER KC/KCX
